Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
MERCEDES-BENZ,MERCEDES-BENZ Clase CLS CLS 350 BlueEFFICIENCY,20.750 €,2012,237.000 km,Gasolina,306 cv,Alicante,https://www.coches.net/mercedes-benz-clase-cls-cls-350-blueefficiency-4p-gasolina-2011-en-alicante-70160904-covo.aspx
OPEL,OPEL Mokka 1.5 D GS,15.400 €,2023,90.000 km,Diesel,110 cv,Almería,https://www.coches.net/opel-mokka-15-d-gs-5p-diesel-2023-en-almeria-70161459-covo.aspx
OPEL,OPEL Mokka 1.7 CDTi 4X2 SS Excellence,9.299 €,2015,144.000 km,Diesel,130 cv,Alicante,https://www.coches.net/opel-mokka-17-cdti-4x2-ss-excellence-5p-diesel-2015-en-alicante-70164845-covo.aspx
VOLKSWAGEN,VOLKSWAGEN ID.3 Pro 58kWh Automatico,28.500 €,2023,11.211 km,Eléctrico,204 cv,Gipuzkoa,https://www.coches.net/volkswagen-id3-pro-150kw-204cv-58kwh-automatico-5p-electrico-hibrido-2023-en-guipuzcoa-70176133-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ CLA CLA 220 D DCT,34.499 €,2020,58.000 km,Diesel,190 cv,Alicante,https://www.coches.net/mercedes-benz-cla-cla-220-d-dct-4p-diesel-2019-en-alicante-70177208-covo.aspx
JEEP,JEEP Avenger 1.2 eHybrid Altitude,24.500 €,2025,5000 km,Híbrido,100 cv,Asturias,https://www.coches.net/km-0/jeep/avenger/asturias/12-ehybrid-74kw-100cv-altitude-electrico-hibrido-de-km0-70195403-kovn.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E E 300 BlueTEC HYBRID,16.999 €,2014,237.000 km,Híbrido,231 cv,Alicante,https://www.coches.net/mercedes-benz-clase-e-e-300-bluetec-hybrid-4p-electrico-hibrido-2014-en-alicante-70220696-covo.aspx
AUDI,AUDI Q3 Advanced 35 TDI quattro,25.900 €,2021,140.000 km,Diesel,150 cv,Badajoz,https://www.coches.net/audi-q3-advanced-35-tdi-quattro-110kw-150cv-5p-diesel-2022-en-badajoz-70227369-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Polo Advance 1.0 TSI DSG,13.690 €,2018,107.112 km,Gasolina,95 cv,Málaga,https://www.coches.net/volkswagen-polo-advance-10-tsi-70kw-95cv-dsg-5p-gasolina-2018-en-malaga-70233704-covo.aspx
DACIA,DACIA Sandero Stepway Comfort TCe,12.490 €,2021,68.783 km,Gasolina,91 cv,Málaga,https://www.coches.net/dacia-sandero-stepway-comfort-tce-67kw-90cv-5p-gasolina-2021-en-malaga-70247273-covo.aspx
